"id_delito","tipo","uso_arma","barrio"
"45579","Robo","NO","PALERMO"
"45582","Robo","NO","PALERMO"
"45585","Robo","NO","PALERMO"
"45586","Robo","NO","PALERMO"
"45591","Robo","NO","PALERMO"
"45593","Robo","NO","PALERMO"
"45594","Robo","NO","PALERMO"
"45595","Robo","NO","PALERMO"
"45601","Robo","NO","PALERMO"
"45602","Robo","NO","PALERMO"
"45603","Robo","NO","PALERMO"
"45604","Robo","NO","PALERMO"
"45606","Robo","NO","PALERMO"
"45607","Robo","NO","PALERMO"
"45609","Robo","NO","PALERMO"
"45610","Robo","NO","PALERMO"
"45612","Robo","NO","PALERMO"
"45614","Robo","NO","PALERMO"
"45616","Robo","NO","PALERMO"
"45618","Robo","NO","PALERMO"
"45619","Robo","NO","PALERMO"
"45620","Robo","NO","PALERMO"
"45622","Robo","NO","PALERMO"
"45624","Robo","NO","PALERMO"
"45625","Robo","NO","PALERMO"
"45628","Robo","NO","PALERMO"
"45629","Robo","NO","PALERMO"
"45633","Robo","NO","PALERMO"
"45634","Robo","NO","PALERMO"
"45636","Robo","NO","PALERMO"
"45638","Robo","NO","PALERMO"
"45640","Robo","NO","PALERMO"
"45642","Robo","NO","PALERMO"
"45645","Robo","NO","PALERMO"
"45649","Robo","NO","PALERMO"
"45650","Robo","NO","PALERMO"
"45654","Robo","NO","PALERMO"
"45655","Robo","NO","PALERMO"
"45660","Robo","NO","PALERMO"
"45662","Robo","NO","PALERMO"
"45663","Robo","NO","PALERMO"
"45669","Robo","NO","PALERMO"
"45675","Robo","NO","PALERMO"
"45677","Robo","NO","PALERMO"
"45680","Robo","NO","PALERMO"
